slice,variant,year,quarter,bucket,category,dollars
age,aggregate,1991,1,ageunder40,Assets,3973403000000
age,aggregate,1991,1,ageunder40,Consumer credit,377471000000
age,aggregate,1991,1,ageunder40,Consumer durables,645216000000
age,aggregate,1991,1,ageunder40,Corporate equities and mutual fund shares,226946000000
age,aggregate,1991,1,ageunder40,DB pension entitlements,223864000000
age,aggregate,1991,1,ageunder40,DC pension entitlements,168306000000
age,aggregate,1991,1,ageunder40,Home mortgages,1091039000000
age,aggregate,1991,1,ageunder40,Liabilities,1486770000000
age,aggregate,1991,1,ageunder40,Net worth,2486634000000
age,aggregate,1991,1,ageunder40,Other assets,692440000000
age,aggregate,1991,1,ageunder40,Other liabilities,18260000000
age,aggregate,1991,1,ageunder40,Private businesses,465326000000
age,aggregate,1991,1,ageunder40,Real estate,1551306000000
age,aggregate,1991,2,age40to54,Assets,8509517000000
age,aggregate,1991,2,age40to54,Consumer credit,280301000000
age,aggregate,1991,2,age40to54,Consumer durables,707710000000
age,aggregate,1991,2,age40to54,Corporate equities and mutual fund shares,709251000000
age,aggregate,1991,2,age40to54,DB pension entitlements,1382450000000
age,aggregate,1991,2,age40to54,DC pension entitlements,643652000000
age,aggregate,1991,2,age40to54,Home mortgages,1059881000000
age,aggregate,1991,2,age40to54,Liabilities,1412193000000
age,aggregate,1991,2,age40to54,Net worth,7097324000000
age,aggregate,1991,2,age40to54,Other assets,1430545000000
age,aggregate,1991,2,age40to54,Other liabilities,72011000000
age,aggregate,1991,2,age40to54,Private businesses,1138275000000
age,aggregate,1991,2,age40to54,Real estate,2497634000000
age,aggregate,1991,2,age55to69,Assets,8674885000000
age,aggregate,1991,2,age55to69,Consumer credit,113597000000
age,aggregate,1991,2,age55to69,Consumer durables,503418000000
age,aggregate,1991,2,age55to69,Corporate equities and mutual fund shares,910435000000
age,aggregate,1991,2,age55to69,DB pension entitlements,1842091000000
age,aggregate,1991,2,age55to69,DC pension entitlements,381354000000
age,aggregate,1991,2,age55to69,Home mortgages,390900000000
age,aggregate,1991,2,age55to69,Liabilities,556154000000
age,aggregate,1991,2,age55to69,Net worth,8118732000000
age,aggregate,1991,2,age55to69,Other assets,1938967000000
age,aggregate,1991,2,age55to69,Other liabilities,51657000000
age,aggregate,1991,2,age55to69,Private businesses,1081523000000
age,aggregate,1991,2,age55to69,Real estate,2017097000000
age,aggregate,1991,2,age70plus,Assets,4437351000000
age,aggregate,1991,2,age70plus,Consumer credit,28362000000
age,aggregate,1991,2,age70plus,Consumer durables,224955000000
age,aggregate,1991,2,age70plus,Corporate equities and mutual fund shares,430377000000
age,aggregate,1991,2,age70plus,DB pension entitlements,547062000000
age,aggregate,1991,2,age70plus,DC pension entitlements,16073000000
age,aggregate,1991,2,age70plus,Home mortgages,35594000000
age,aggregate,1991,2,age70plus,Liabilities,85128000000
age,aggregate,1991,2,age70plus,Net worth,4352223000000
age,aggregate,1991,2,age70plus,Other assets,1679523000000
age,aggregate,1991,2,age70plus,Other liabilities,21172000000
age,aggregate,1991,2,age70plus,Private businesses,407023000000
age,aggregate,1991,2,age70plus,Real estate,1132338000000
age,aggregate,1991,2,ageunder40,Assets,3958179000000
age,aggregate,1991,2,ageunder40,Consumer credit,379046000000
age,aggregate,1991,2,ageunder40,Consumer durables,647615000000
age,aggregate,1991,2,ageunder40,Corporate equities and mutual fund shares,222753000000
age,aggregate,1991,2,ageunder40,DB pension entitlements,224998000000
age,aggregate,1991,2,ageunder40,DC pension entitlements,171063000000
age,aggregate,1991,2,ageunder40,Home mortgages,1104276000000
age,aggregate,1991,2,ageunder40,Liabilities,1500852000000
age,aggregate,1991,2,ageunder40,Net worth,2457327000000
age,aggregate,1991,2,ageunder40,Other assets,677843000000
age,aggregate,1991,2,ageunder40,Other liabilities,17530000000
age,aggregate,1991,2,ageunder40,Private businesses,458165000000
age,aggregate,1991,2,ageunder40,Real estate,1555742000000
age,aggregate,1991,3,age40to54,Assets,8696693000000
age,aggregate,1991,3,age40to54,Consumer credit,278711000000
age,aggregate,1991,3,age40to54,Consumer durables,718492000000
age,aggregate,1991,3,age40to54,Corporate equities and mutual fund shares,750089000000
age,aggregate,1991,3,age40to54,DB pension entitlements,1428796000000
age,aggregate,1991,3,age40to54,DC pension entitlements,671086000000
age,aggregate,1991,3,age40to54,Home mortgages,1083858000000
age,aggregate,1991,3,age40to54,Liabilities,1436061000000
age,aggregate,1991,3,age40to54,Net worth,7260632000000
age,aggregate,1991,3,age40to54,Other assets,1447655000000
age,aggregate,1991,3,age40to54,Other liabilities,73492000000
age,aggregate,1991,3,age40to54,Private businesses,1138216000000
age,aggregate,1991,3,age40to54,Real estate,2542359000000
age,aggregate,1991,3,age55to69,Assets,8788216000000
age,aggregate,1991,3,age55to69,Consumer credit,115457000000
age,aggregate,1991,3,age55to69,Consumer durables,511365000000
age,aggregate,1991,3,age55to69,Corporate equities and mutual fund shares,982479000000
age,aggregate,1991,3,age55to69,DB pension entitlements,1857680000000
age,aggregate,1991,3,age55to69,DC pension entitlements,395152000000
age,aggregate,1991,3,age55to69,Home mortgages,394721000000
age,aggregate,1991,3,age55to69,Liabilities,567516000000
age,aggregate,1991,3,age55to69,Net worth,8220700000000
age,aggregate,1991,3,age55to69,Other assets,1930757000000
age,aggregate,1991,3,age55to69,Other liabilities,57338000000
age,aggregate,1991,3,age55to69,Private businesses,1079450000000
age,aggregate,1991,3,age55to69,Real estate,2031333000000
age,aggregate,1991,3,age70plus,Assets,4497228000000
age,aggregate,1991,3,age70plus,Consumer credit,27642000000
age,aggregate,1991,3,age70plus,Consumer durables,230307000000
age,aggregate,1991,3,age70plus,Corporate equities and mutual fund shares,460296000000
age,aggregate,1991,3,age70plus,DB pension entitlements,557278000000
age,aggregate,1991,3,age70plus,DC pension entitlements,16060000000
age,aggregate,1991,3,age70plus,Home mortgages,39741000000
age,aggregate,1991,3,age70plus,Liabilities,90451000000
age,aggregate,1991,3,age70plus,Net worth,4406777000000
age,aggregate,1991,3,age70plus,Other assets,1692595000000
age,aggregate,1991,3,age70plus,Other liabilities,23068000000
age,aggregate,1991,3,age70plus,Private businesses,410084000000
age,aggregate,1991,3,age70plus,Real estate,1130608000000
age,aggregate,1991,3,ageunder40,Assets,3971262000000
age,aggregate,1991,3,ageunder40,Consumer credit,380690000000
age,aggregate,1991,3,ageunder40,Consumer durables,643310000000
age,aggregate,1991,3,ageunder40,Corporate equities and mutual fund shares,235888000000
age,aggregate,1991,3,ageunder40,DB pension entitlements,225976000000
age,aggregate,1991,3,ageunder40,DC pension entitlements,176777000000
age,aggregate,1991,3,ageunder40,Home mortgages,1096183000000
age,aggregate,1991,3,ageunder40,Liabilities,1495104000000
age,aggregate,1991,3,ageunder40,Net worth,2476157000000
